City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,nhamunda,-2.1861,-56.7131,305.11,57,92,1.77,BR,1706982228
262,siyabuswa,-25.1132,29.0445,303.59,24,58,3.38,ZA,1706982228
263,bandarbeyla,9.4942,50.8122,298.45,79,99,6.41,SO,1706982079
264,ancud,-41.8697,-73.8203,288.8,59,76,4.01,CL,1706981940
265,mitu,1.1983,-70.1733,303.72,63,73,2.22,CO,1706982228
266,eirunepe,-6.6603,-69.8736,305.13,62,80,1.33,BR,1706982228
267,ignalina,55.35,26.1667,276.6,83,99,7.5,LT,1706982228
268,kapsabet,0.2039,35.105,290.9,74,95,1.83,KE,1706982228
269,bardai,11.65,7.2333,296.54,14,3,4.6,NG,1706982228
270,midvagur,62.0511,-7.1939,274.61,86,75,2.06,FO,1706982228
271,coquimbo,-29.9533,-71.3436,295.0,73,40,6.69,CL,1706982016
272,aasiaat,68.7098,-52.8699,242.5,97,43,2.39,GL,1706982229
273,praia,14.9215,-23.5087,301.45,42,57,7.2,CV,1706982036
274,xilin hot,43.9667,116.0333,248.59,94,5,2.4,CN,1706982026
275,alice springs,-23.7,133.8833,302.71,30,100,4.63,AU,1706982229
276,qulsary,46.9531,54.0198,270.98,93,59,5.52,KZ,1706982229
277,argo,37.6333,22.7333,280.81,82,7,1.57,GR,1706982229
278,maceio,-9.6658,-35.7353,305.84,55,40,6.69,BR,1706982216
279,talnakh,69.4865,88.3972,258.82,96,100,4.11,RU,1706982229
280,polyarnyy,69.1989,33.4478,267.55,77,96,12.46,RU,1706982230
281,kavaratti,10.5669,72.642,299.7,69,38,2.23,IN,1706982130
282,roggiano gravina,39.6182,16.1597,284.63,81,6,2.0,IT,1706982230
283,oncativo,-31.9135,-63.682,314.23,16,17,2.98,AR,1706982230
284,usogorsk,63.4106,48.6872,265.19,95,100,3.48,RU,1706982230
285,nelson bay,-32.7167,152.15,296.48,89,20,4.02,AU,1706982230
286,nerchinsk,51.9833,116.5833,240.28,100,18,0.57,RU,1706982230
287,peace river,56.2501,-117.286,266.32,57,20,3.09,CA,1706982230
288,horn,51.8715,8.9451,282.76,94,100,6.41,DE,1706982230
289,laharpur,27.7167,80.9,289.6,38,84,3.68,IN,1706982230
290,sagaing,21.8787,95.9797,294.01,51,0,0.96,MM,1706982064
291,den burg,53.0542,4.7972,282.57,90,100,6.17,NL,1706982231
292,inirida,3.8653,-67.9239,302.07,81,81,0.78,CO,1706982231
293,birjand,32.8663,59.2211,274.41,60,20,2.06,IR,1706982231
294,aykhal,66.0,111.5,245.63,65,84,1.62,RU,1706982231
295,masterton,-40.9597,175.6575,283.76,94,6,1.28,NZ,1706982231
296,khark,29.2614,50.3306,290.05,40,0,7.54,IR,1706982231
297,codajas,-3.8367,-62.0569,305.38,59,70,1.2,BR,1706982231
298,uturoa,-16.7333,-151.4333,300.92,74,93,5.04,PF,1706982139
299,bowie,33.4501,-94.4335,286.6,89,100,5.39,US,1706982231
300,jonesborough,36.2943,-82.4735,285.24,61,2,1.46,US,1706982231
301,yung shue wan,22.2333,114.1167,293.88,89,85,0.89,HK,1706982232
302,montrose,38.4166,-108.2673,271.82,91,100,2.8,US,1706982109
303,mysore,12.3072,76.6497,296.31,61,93,2.19,IN,1706982232
304,krasnohrad,49.3814,35.4402,273.92,98,100,7.41,UA,1706982232
305,sao vicente,-23.9631,-46.3919,304.25,60,75,1.54,BR,1706982232
306,smithers,54.7804,-127.1743,263.33,100,75,1.03,CA,1706982013
307,izberbash,42.5696,47.8645,275.18,93,100,0.86,RU,1706982232
308,nemuro,43.3236,145.575,267.64,69,26,6.3,JP,1706982232
